學校類型,設立別,學校,科系,校系,學類所屬學群編號,學類所屬學群名稱,學群編號編碼,大考中心學類編號,學類編碼,學類編號編碼,學校代碼,學校名稱,科系代碼,科系名稱,校系代碼,校系名稱,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,師生比,一年級人數,二年級人數,三年級人數,四年級人數,大四以上年級人數,延畢人數,人數下滑率,延畢率,教師總數,專任助理教授以上之比例,專任講師以上之比例,專任助理教授以上總人數,專任講師以上總人數,正副教授比較助理教授及講師講課時數之倍數,專任教授平均每週授課時數,專任副教授平均每週授課時數,專任助理教授平均每週授課時數,專任講師平均每週授課時數,專任其他教師平均每週授課時數,畢業總學分數,專業學分比,通識/共同學分比,畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,大學生興趣碼,大學生興趣碼R,大學生興趣碼I,大學生興趣碼A,大學生興趣碼S,大學生興趣碼E,大學生興趣碼C,職業Holland碼前二碼,職業興趣碼R,職業興趣碼I,職業興趣碼A,職業興趣碼S,職業興趣碼E,職業興趣碼C,命中率,職業Holland碼首碼,首碼職業關聯百分比,前二碼職業關聯百分比,辦理休學率,總休學率,因學業成績與志趣不合總休學率,休學人數整理2_在學學生數,學期內新辦理休學人數小計,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,至學期底總休學人數小計,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,退學率,因成績/志趣與逾期退學率,因志趣不合退學率,退學人數整理2_在學學生數,退學人數小計,因學業成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數,教育部學類,三年後就業薪資_99學年日間碩士,三年後就業薪資_99學年在職碩士,三年後就業薪資 _99學年日間學士,99學年三年後就業薪資_進修學士,三年後就業薪資_99學年日間專科,三年後就業薪資_99學年進修專科,四年後就業薪資_99學年日間碩士,四年後就業薪資_99學年在職碩士,四年後就業薪資_99學年日間學士,四年後就業薪資_99學年進修學士,四年後就業薪資_99學年日間專科,四年後就業薪資_99學年進修專科,三年後就業薪資_100學年日間碩士,三年後就業薪資_100學年在職碩士,三年後就業薪資_100學年日間學士,三年後就業薪資_100學年進修學士,三年後就業薪資_100學年日間專科,三年後就業薪資_100學年進修專科,三年後就業率_99學年日間碩士,三年後就業率_99學年在職碩士,三年後就業率_99學年日間學士,三年後就業率_99學年進修學士,三年後就業率_99學年日間專科,三年後就業率_99學年進修專科,四年後就業率_99學年日間碩士,四年後就業率_99學年在職碩士,四年後就業率_99學年日間學士,四年後就業率_99學年進修學士,四年後就業率_99學年日間專科,四年後就業率_99學年進修專科,三年後就業率_100學年日間碩士,三年後就業率_100學年在職碩士,三年後就業率_100學年日間學士,三年後就業率_100學年進修學士,三年後就業率_100學年日間專科,三年後就業率_100學年進修專科,隔屆就業率成長幅度,隔屆就業薪資變化,隔年就業率成長幅度,隔年就業薪資變化
一般,公立,國立中山大學,中國文學系,國立中山大學中國文學系,13,文史哲學群,13文史哲學群,84,中國語文學類,84中國語文學類,9,國立中山大學,2322005,中國文學系,902322005,國立中山大學中國文學系,277,19,60,50 高雄市,一般,0.0686,60,60,62,79,11,21,0.102508961,0.075812274,21,0.904761905,0.904761905,19,19,0.777453839,7,0,9.29,0,0,128,0.421875,0.21875,54,28,0,46,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,A,0.36,0.21,0.069805195,0.173701299,0.066558442,616,43,24,0,107,41,0,0.028409091,0.024621212,0.005681818,528,15,3,3,2,5,中國語文學類,52560,80014,31029,30970,,,55031,81433,33926,33393,,,55646,78315,32146,29771,,,0.8739,0.9708,0.8268,0.8768,,,0.8889,0.9679,0.8582,0.8949,,,0.8457,0.979,0.8159,0.8427,,,0.0163,326.25,0.0154,2303
一般,公立,國立中山大學,化學系,國立中山大學化學系,3,數理化學群,3數理化學群,16,化學學類,16化學學類,9,國立中山大學,5311037,化學系,905311037,國立中山大學化學系,331,23,90,50 高雄市,一般,0.0695,102,94,58,57,9,11,-0.159550492,0.033232628,23,1,1,23,23,2.397777778,9,11.58,8,0,0,128,0.5,0.21875,64,28,0,36,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.44,0.44,0.026806112,0.051906245,0.004716981,636,17,3,0,33,3,0,0.032075472,0.024528302,0.011320755,530,17,0,6,2,5,化學學類,52891,52510,33991,30158,,,63253,54688,38295,33707,,,56995,74990,34438,33117,,,0.9605,1,0.8312,0.7647,,,0.9721,1,0.8528,0.7647,,,0.9652,0.9259,0.8212,0.8947,,,-0.0127,7497.5,0.0083,5098
一般,公立,國立中山大學,外國語文學系,國立中山大學外國語文學系,12,外語學群,12外語學群,79,英語文學類,79英語文學類,9,國立中山大學,2311006,外國語文學系,902311006,國立中山大學外國語文學系,287,21,59,50 高雄市,一般,0.0732,65,59,72,75,2,14,0.056565986,0.048780488,21,0.952380952,1,20,21,0.909301249,9.25,9.4,9.61,11,0,128,0.4453125,0.21875,57,28,0,43,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,0.055555556,0.095959596,0.035353535,594,33,16,1,57,20,1,0.030651341,0.022988506,0.005747126,522,16,1,3,4,4,外國語文學類,47592,68581,30313,34680,25862,33818,49715,70862,33103,36733,27346,39109,45886,70527,31111,34138,25044,35446,0.8865,0.9857,0.8462,0.8512,0.462,0.8197,0.8972,0.9786,0.8694,0.8651,0.6645,0.8525,0.8489,0.9728,0.8639,0.8481,0.4773,0.4464,0.0657,217.67,0.046,2670
一般,公立,國立中山大學,企業管理學系,國立中山大學企業管理學系,16,管理學群,16管理學群,102,企業管理學類,102企業管理學類,9,國立中山大學,4131021,企業管理學系,904131021,國立中山大學企業管理學系,704,26,197,50 高雄市,一般,0.0369,191,195,152,122,27,17,-0.132312944,0.024147727,26,1,1,26,26,1.844990548,7.52,11,9.58,0,0,140,0.492857143,0.2,69,28,0,43,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,0.039041096,0.088356164,0.00890411,1460,57,7,0,129,13,0,0.025592417,0.019905213,0.002843602,1055,27,2,3,4,12,企業管理學類,47960,99045,29887,35199,24762,33925,52793,105597,32632,37663,27331,38150,48024,96539,30451,37259,28641,31935,0.9263,0.9546,0.875,0.9019,0.5993,0.8782,0.9376,0.9485,0.8969,0.9006,0.75,0.9054,0.9222,0.9583,0.8843,0.8802,0.705,0.8591,-0.0123,345.17,0.034,3898
一般,公立,國立中山大學,光電工程學系,國立中山大學光電工程學系,2,工程學群,2工程學群,3,光電學類,3光電學類,9,國立中山大學,7141054,光電工程學系,907141054,國立中山大學光電工程學系,304,14,96,50 高雄市,一般,0.0461,96,96,55,48,5,4,-0.184785354,0.013157895,14,1,1,14,14,1.694615385,11.2,9.83,12,0,0,139,0.489208633,0.201438849,68,28,0,43,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.57,0.57,0.010576306,0.037203183,0.001788909,559,6,0,0,21,1,0,0.027350427,0.025641026,0.003418803,585,16,4,2,1,8,電資工程學類,56046,80246,30849,34305,25630,33016,68887,86921,35771,37564,28137,34081,62298,84755,31680,34913,28660,37269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3247.17,0.0223,5212
一般,公立,國立中山大學,材料與光電科學學系,國立中山大學材料與光電科學學系,2,工程學群,2工程學群,11,材料工程學類,11材料工程學類,9,國立中山大學,7112063,材料與光電科學學系,907112063,國立中山大學材料與光電科學學系,343,19,98,50 高雄市,一般,0.0554,108,105,58,56,14,2,-0.169959861,0.005830904,19,1,1,19,19,1.887280248,6.5,10.75,8.67,0,0,140,0.507142857,0.2,71,28,0,41,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.6,0.6,0.020114943,0.043103448,0,696,14,0,0,30,0,0,0.021786492,0.017429194,0.006535948,459,10,2,3,1,2,電資工程學類,56046,80246,30849,34305,25630,33016,68887,86921,35771,37564,28137,34081,62298,84755,31680,34913,28660,37269,0.9543,0.9729,0.88,0.924,0.7923,0.8649,0.969,0.974,0.9112,0.9358,0.8394,0.893,0.9653,0.9849,0.8843,0.8963,0.6714,0.8913,0.0158,3247.17,0.0223,5212
一般,公立,國立中山大學,物理學系,國立中山大學物理學系,3,數理化學群,3數理化學群,17,物理學類,17物理學類,9,國立中山大學,5331038,物理學系,905331038,國立中山大學物理學系,309,21,92,50 高雄市,一般,0.068,101,77,60,52,11,8,-0.197245439,0.025889968,21,1,1,21,21,2.444959444,8.9,11.2,7.63,0,0,128,0.453125,0.21875,58,28,0,42,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.77,0.69,0.038167939,0.066793893,0.005725191,524,20,3,0,35,3,0,0.026132404,0.022648084,0.010452962,574,15,0,6,4,3,物理學類,57053,79256,32837,,,,70060,83133,38149,,,,60185,73918,36818,,,,0.9362,1,0.7674,,,,0.9525,1,0.8006,,,,0.9085,0.9524,0.7526,,,,0.03,591.67,0.0165,7399
一般,公立,國立中山大學,社會學系,國立中山大學社會學系,10,社會與心理學群,10社會與心理學群,67,社會學學類,67社會學學類,9,國立中山大學,3141013,社會學系,903141013,國立中山大學社會學系,188,11,37,50 高雄市,一般,0.0585,44,52,40,39,0,13,-0.02465035,0.069148936,11,1,1,11,11,1.384615385,6.9,6.5,9.4,0,0,128,0.265625,0.21875,34,28,0,66,EAS,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.39,0.22,0.021164021,0.066137566,0.010582011,378,8,1,0,25,4,0,0.04368932,0.029126214,0.004854369,206,9,2,1,2,1,社會學類,61633,73218,31375,,,,65024,74249,35802,,,,67037,77226,32953,,,,0.9323,0.987,0.8208,,,,0.9139,0.9744,0.8703,,,,0.9112,0.98,0.8466,,,,0.0008,3663.33,0.0062,2950
一般,公立,國立中山大學,政治經濟學系,國立中山大學政治經濟學系,15,法政學群,15法政學群,100,政治學類,100政治學類,9,國立中山大學,4134010,政治經濟學系,904134010,國立中山大學政治經濟學系,221,8,41,50 高雄市,一般,0.0362,49,50,52,53,0,17,0.026546311,0.076923077,8,1,1,8,8,1.91047619,11.06,8,9.5,0,0,136,0.367647059,0.205882353,50,28,0,58,ES,0,0,0,1,1,0,EA,0,0,1,0,1,0,4,E,0.33,0.22,0.020930233,0.039534884,0,430,9,0,0,17,0,0,0.013953488,0.011627907,0.004651163,430,6,1,2,0,2,經濟學類,45020,73259,34767,34288,,,50190,78667,39562,35613,,,47891,81947,35605,34110,,,0.8502,0.9357,0.8472,0.92,,,0.8742,0.9007,0.8708,0.9205,,,0.9136,0.9701,0.8507,0.9339,,,-0.0288,3054.75,0.0033,4175
一般,公立,國立中山大學,海洋環境及工程學系,國立中山大學海洋環境及工程學系,7,地球與環境學群,7地球與環境學群,50,海洋科學學類,50海洋科學學類,9,國立中山大學,7122065,海洋環境及工程學系,907122065,國立中山大學海洋環境及工程學系,261,14,57,50 高雄市,一般,0.0536,67,63,62,49,13,7,-0.095083976,0.026819923,14,1,1,14,14,1.643371758,11.42,10.39,12.88,0,0,128,0.5078125,0.21875,65,28,0,35,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.36,0.36,0.055555556,0.148148148,0.025925926,540,30,5,0,80,12,2,0.026946108,0.020958084,0.011976048,334,9,0,4,1,2,環境工程學類,43921,69413,28706,31691,19107,,50567,71502,31849,34330,28171,,44064,66510,28970,33079,,,0.952,0.9818,0.8982,0.9234,0.8,,0.969,0.9758,0.913,0.9307,1,,0.9532,0.9892,0.8765,0.9439,,,-0.0296,4588.15,0.0466,4716
