學校類型,設立別,學校,科系,校系,大考中心學群編號,學群編號編碼,大考中心學類編號,學類編號編碼,學校代碼,學校名稱,科系代碼,科系名稱,校系代碼,校系名稱,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,師生比,一年級人數,二年級人數,三年級人數,四年級人數,大四以上年級人數,延畢人數,人數下滑率,延畢率,教師總數,專任助理教授以上之比例,欄位11,專任助理教授以上總人數,專任講師以上總人數,正副教授比較助理教授及講師講課時數之倍數,專任教授平均每週授課時數,專任副教授平均每週授課時數,專任助理教授平均每週授課時數,專任講師平均每週授課時數,專任其他教師平均每週授課時數,畢業總學分數,專業學分比,通識/共同學分比,畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,123 個學類,大學生興趣碼,大學生興趣碼R,大學生興趣碼I,大學生興趣碼A,大學生興趣碼S,大學生興趣碼E,大學生興趣碼C,職業Holland碼前二碼,職業興趣碼R,職業興趣碼I,職業興趣碼A,職業興趣碼S,職業興趣碼E,職業興趣碼C,命中率,職業Holland碼首碼,首碼職業關聯百分比,前二碼職業關聯百分比,學類所屬學群編號,學類所屬學群名稱,辦理休學率,總休學率,因學業成績與志趣不合總休學率,休學人數整理2_在學學生數,學期內新辦理休學人數小計,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,至學期底總休學人數小計,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,退學率,因成績/志趣與逾期退學率,因志趣不合退學率,退學人數整理2_在學學生數,退學人數小計,因學業成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數
1,公立,國立政治大學,教育學系,國立政治大學教育學系,14,14教育學群,92,92教育學類,0001,國立政治大學,01111001,教育學系,000101111001,國立政治大學教育學系,380,16,87,30 臺北市,1 一般,4.21%,91,90,87,66,29,17,9.52%,4.68%,16,1,1,16,16,1.686666667,7.68,6.5,8,0,0,128,0.78125,0.21875,100,28,0,0,教育學類,SA,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,S,0.6,0.3,14,教育學群,0.043103448,0.141625616,0.013546798,812,35,0,2,115,0,11,0.025423729,0.025423729,0,118,3,1,0,0,2
1,公立,國立政治大學,歷史學系,國立政治大學歷史學系,13,13文史哲學群,85,85歷史學類,0001,國立政治大學,02221020,歷史學系,000102221020,國立政治大學歷史學系,271,16,59,30 臺北市,1 一般,5.90%,71,57,61,49,18,15,10.79%,5.86%,17,0.941176471,0.941176471,16,16,1.922857143,6.38,6.08,6,0,0,128,0.78125,0.21875,100,28,0,0,歷史學類,SEA,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.36,0.27,13,文史哲學群,0.040636042,0.107773852,0.054770318,566,23,9,4,61,22,9,0.027777778,0.027777778,0.009259259,324,9,0,3,0,6
1,公立,國立政治大學,民族學系,國立政治大學民族學系,10,10社會與心理學群,69,69人類/民族學學類,0001,國立政治大學,02222031,民族學系,000102222031,國立政治大學民族學系,235,8,51,30 臺北市,1 一般,3.40%,61,51,45,48,9,21,7.16%,9.81%,8,1,1,8,8,14.71,6,7.71,0,0,0,128,0.78125,0.21875,100,28,0,0,人類/民族學學類,SAE,0,0,1,1,1,0,SE,0,0,0,1,1,0,5,S,0.39,0.23,10,社會與心理學群,0.039473684,0.125,0.037280702,456,18,4,3,57,11,6,0.035714286,0.035714286,0.007936508,252,9,0,2,0,7
1,公立,國立政治大學,哲學系,國立政治大學哲學系,13,13文史哲學群,86,86哲學學類,0001,國立政治大學,02231022,哲學系,000102231022,國立政治大學哲學系,264,13,43,30 臺北市,1 一般,4.92%,69,63,49,53,14,16,7.58%,6.45%,13,1,1,13,13,1.857142857,6,6,6,0,0,128,0.78125,0.21875,100,28,0,0,哲學學類,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,S,0.64,0.36,13,文史哲學群,0.03358209,0.121268657,0.042910448,536,18,1,2,65,15,8,0.041237113,0.041237113,0.005154639,388,16,2,2,0,12
1,公立,國立政治大學,英國語文學系,國立政治大學英國語文學系,12,12外語學群,79,79英語文學類,0001,國立政治大學,02311009,英國語文學系,000102311009,國立政治大學英國語文學系,404,25,75,30 臺北市,1 一般,6.19%,18,4,14,0,9,0,-24.07%,0.00%,25,0.96,1,24,25,0.750952381,7.5,7.27,8,12,0,128,0.78125,0.21875,100,28,0,0,英語文學類,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,12,外語學群,0.045990566,0.148584906,0.053066038,848,39,8,8,126,23,22,0.02293578,0.02293578,0.01146789,436,10,1,5,0,4
1,公立,國立政治大學,英國語文學系,國立政治大學英國語文學系,12,12外語學群,79,79英語文學類,0001,國立政治大學,02311009,英國語文學系,000102311009,國立政治大學英國語文學系,404,25,75,30 臺北市,1 一般,6.19%,85,89,86,90,12,42,-2.00%,11.60%,25,0.96,1,24,25,0.750952381,7.5,7.27,8,12,0,128,0.78125,0.21875,100,28,0,0,英語文學類,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,12,外語學群,0.045990566,0.148584906,0.053066038,848,39,8,8,126,23,22,0.02293578,0.02293578,0.01146789,436,10,1,5,0,4
1,公立,國立政治大學,日本語文學系,國立政治大學日本語文學系,12,12外語學群,81,81日語文學系,0001,國立政治大學,02311011,日本語文學系,000102311011,國立政治大學日本語文學系,213,11,39,30 臺北市,1 一般,5.16%,49,44,46,46,0,28,1.89%,15.14%,11,1,1,11,11,1.419428571,4.75,6.67,7.75,0,0,128,0.78125,0.21875,100,28,0,0,日語文學類,AS,0,0,1,1,0,0,"AE,EC,CE",0,0,1,0,1,1,3,A,0.31,0.19,12,外語學群,0.012195122,0.056097561,0.009756098,410,5,0,1,23,0,4,0.029268293,0.029268293,0.009756098,205,6,1,2,0,3
1,公立,國立政治大學,阿拉伯語文學系,國立政治大學阿拉伯語文學系,12,12外語學群,82,82東方語文學類,0001,國立政治大學,02311012,阿拉伯語文學系,000102311012,國立政治大學阿拉伯語文學系,175,7,37,30 臺北市,1 一般,4.00%,45,42,42,36,0,10,6.98%,6.06%,7,0.857142857,1,6,7,0.135135135,2,0,7.2,14,0,128,0.78125,0.21875,100,28,0,0,東方語文學類,AS,0,0,1,1,0,0,"EC,SA",0,0,1,1,1,1,4,E,0.33,0.33,12,外語學群,0.014367816,0.040229885,0.022988506,348,5,0,4,14,0,8,0.011494253,0.011494253,0.005747126,174,2,0,1,0,1
1,公立,國立政治大學,韓國語文學系,國立政治大學韓國語文學系,12,12外語學群,82,82東方語文學類,0001,國立政治大學,02311014,韓國語文學系,000102311014,國立政治大學韓國語文學系,173,9,45,30 臺北市,1 一般,5.20%,43,41,38,34,0,17,7.50%,10.90%,9,1,1,9,9,1.217692308,8.5,6.33,12,0,0,128,0.78125,0.21875,100,28,0,0,東方語文學類,AS,0,0,1,1,0,0,"EC,SA",0,0,1,1,1,1,4,E,0.33,0.33,12,外語學群,0.01572327,0.053459119,0.012578616,318,5,0,1,17,0,4,0.021126761,0.021126761,0.007042254,142,3,0,1,0,2
1,公立,國立政治大學,土耳其語文學系,國立政治大學土耳其語文學系,12,12外語學群,82,82東方語文學類,0001,國立政治大學,02311015,土耳其語文學系,000102311015,國立政治大學土耳其語文學系,131,6,24,30 臺北市,1 一般,4.58%,34,33,26,25,0,13,9.33%,11.02%,6,0.833333333,1,5,6,0.6,0,9.2,0,16,0,128,0.78125,0.21875,100,28,0,0,東方語文學類,AS,0,0,1,1,0,0,"EC,SA",0,0,1,1,1,1,4,E,0.33,0.33,12,外語學群,0.00390625,0.06640625,0.01171875,256,1,0,0,17,0,3,0.01953125,0.01953125,0.00390625,256,5,0,1,0,4
